"ACS Year","Ward","Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +","Male 0 to 17","Male 18 to 24","Male 25 to 34","Male 35 to 49","Male 50 to 64","Male 65+","Female 0 to 17","Female 18 to 24","Female 25 to 34","Female 35 to 49","Female 50 to 64","Female 65 +","Total Population","White","Black or African American","American Indian or Alaska Native","Asian","Native Hawaiian or Pacific Islander","Other Race","Multiracial","White Not Hispanic or Latino","Hispanic or Latino","Record ID"
"2023","1","721","943","760","1,721","6,677","3,987","1,868","10,455","7,613","2,936","1,772","4,231","1,827","10,197","6,693","2,621","1,974","56,174","38,343","3,570","173","3,213","63","3,056","7,757","32,404","14,475","2023_1"
"2023","2","482","627","613","1,250","7,494","2,980","2,569","9,853","5,302","3,722","3,736","2,722","3,562","10,417","4,811","4,126","4,674","58,472","44,545","3,848","185","5,023","14","1,233","3,624","42,193","5,050","2023_2"
"2023","3","1,820","1,545","994","1,772","4,431","4,877","2,612","5,469","5,230","4,521","3,044","4,634","2,487","6,633","5,850","5,094","4,994","55,444","14,396","33,243","229","4,000","24","915","2,638","13,621","2,756","2023_3"
"2023","4","1,728","1,288","950","1,639","4,573","4,259","2,387","5,704","4,625","4,022","2,807","4,461","2,614","6,484","5,358","4,779","4,437","51,937","14,306","28,149","197","5,356","4","1,029","2,897","13,094","3,258","2023_4"
"2023","5","1,584","1,359","1,134","1,665","2,861","4,587","3,421","4,536","3,470","3,443","2,639","4,172","3,567","4,554","4,457","4,272","4,252","47,372","11,161","29,364","69","3,435","0","1,096","2,247","10,219","2,413","2023_5"
"2023","6","2,504","2,407","1,468","1,779","1,505","5,142","1,664","2,753","3,131","4,132","2,919","4,522","2,250","3,211","4,344","5,079","5,255","44,400","449","42,132","183","132","0","354","1,151","322","941","2023_6"
"2023","7","2,044","2,034","1,250","1,677","1,609","4,301","1,182","2,847","3,003","3,223","2,506","5,193","2,542","3,413","4,075","3,976","4,356","40,616","1,949","36,039","49","137","6","1,510","924","1,053","2,891","2023_7"
"2023","8","2,120","2,031","1,940","2,447","2,326","5,213","1,420","3,053","3,615","4,600","3,220","4,196","2,133","3,895","4,985","6,064","6,603","48,995","760","46,825","14","106","22","413","855","674","633","2023_8"
"2023","9","2,647","2,477","1,609","2,733","1,396","5,283","2,152","2,852","3,280","3,904","2,632","5,967","2,283","3,421","4,967","5,400","4,587","46,727","2,225","42,460","17","66","0","1,015","945","1,243","2,339","2023_9"
"2023","10","2,330","2,925","2,347","2,963","2,172","6,891","2,826","3,406","4,767","5,332","3,223","7,525","2,715","3,586","5,216","4,842","4,375","54,702","20,258","14,103","843","287","19","13,142","6,050","6,770","33,553","2023_10"
"2023","11","1,887","2,392","1,593","2,587","4,214","5,067","2,605","5,534","5,975","4,779","3,953","4,354","2,683","5,242","5,546","4,839","4,560","55,137","22,255","3,585","415","19,833","68","4,958","4,023","18,317","12,073","2023_11"
"2023","12","2,097","3,205","1,962","2,404","1,923","6,593","3,909","6,893","6,710","5,085","2,876","6,065","2,601","3,897","5,172","4,402","3,025","57,228","18,570","6,679","1,004","6,235","47","16,754","7,939","5,302","38,852","2023_12"
"2023","13","1,018","2,112","2,248","3,056","3,652","7,514","2,434","3,231","6,509","4,088","2,966","6,021","2,335","3,549","5,381","4,569","3,804","52,402","25,625","1,044","1,322","539","37","13,301","10,534","12,065","38,620","2023_13"
"2023","14","1,459","2,911","2,138","2,785","2,543","6,551","2,629","4,752","4,826","5,029","3,258","7,011","2,791","3,702","5,388","3,899","3,609","53,443","22,410","701","738","1,844","25","17,446","10,279","5,935","44,965","2023_14"
"2023","15","1,681","2,139","1,514","1,365","941","4,565","2,022","2,629","3,136","3,395","2,180","4,832","2,029","2,755","3,022","2,633","2,291","35,489","10,596","6,139","559","948","86","11,268","5,892","1,496","26,827","2023_15"
"2023","16","2,455","2,498","1,766","1,620","1,164","5,860","2,376","2,830","4,088","3,575","3,273","5,213","2,755","3,596","3,535","3,913","3,822","44,836","7,471","22,024","529","227","62","10,737","3,785","584","21,670","2023_16"
"2023","17","2,244","2,504","1,577","1,932","1,467","5,941","2,122","3,134","3,972","2,871","2,792","5,326","2,267","3,209","3,895","4,289","4,141","43,957","4,007","32,436","226","218","0","4,286","2,784","600","9,948","2023_17"
