Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC09_L2SP_023031_20230604_20230606_02_T1,LC09_L1TP_023031_20230604_20230605_02_T1,LC90230312023155LGN00,2023/06/04,T1,2, 023, 031, 023, 031,NADIR,   0.001,2023/06/06,2023/06/05,2023-06-04 16:34:17,2023-06-04 16:34:48,LGN,DAY,   7.62,  17.62,530,5,    6.274,    4.599,    4.267,LPGS_16.3.0,64.81037716,134.03817557,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,16,WGS84,WGS84,41°45'34.56"N,88°23'09.96"W,42°48'05.08"N,89°50'57.66"W,42°50'12.73"N,86°58'23.09"W,40°39'30.56"N,89°45'22.03"W,40°41'29"N,86°58'26.26"W, 41.75960, -88.38610, 42.80141, -89.84935, 42.83687, -86.97308, 40.65849, -89.75612, 40.69139, -86.97396,LC09_L2SP_023031_20230604_20230606_02_T1,LC90230312023155LGN00
LC08_L2SP_022031_20230605_20230613_02_T1,LC08_L1TP_022031_20230605_20230613_02_T1,LC80220312023156LGN00,2023/06/05,T1,2, 022, 031, 022, 031,NADIR,  -0.001,2023/06/13,2023/06/13,2023-06-05 16:28:01,2023-06-05 16:28:32,LGN,DAY,  41.20,  28.38,590,5,    5.213,    3.594,    3.777,LPGS_16.3.0,64.90574902,133.90302346,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,41°45'34.96"N,86°45'59.47"W,42°48'42.62"N,88°11'02.40"W,42°48'21.35"N,85°20'25.33"W,40°41'08.56"N,88°08'43.98"W,40°40'48.83"N,85°23'39.26"W, 41.75971, -86.76652, 42.81184, -88.18400, 42.80593, -85.34037, 40.68571, -88.14555, 40.68023, -85.39424,LC08_L2SP_022031_20230605_20230613_02_T1,LC80220312023156LGN00
LC08_L2SP_023031_20230612_20230622_02_T1,LC08_L1TP_023031_20230612_20230622_02_T1,LC80230312023163LGN00,2023/06/12,T1,2, 023, 031, 023, 031,NADIR,  -0.001,2023/06/22,2023/06/22,2023-06-12 16:34:16,2023-06-12 16:34:48,LGN,DAY,  48.31,  44.29,266,5,    7.455,    5.438,    5.100,LPGS_16.3.0,65.21056176,132.49838650,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,41°45'33.98"N,88°18'57.38"W,42°48'11.56"N,89°46'33.82"W,42°50'12.59"N,86°53'58.78"W,40°39'26.86"N,89°41'06.40"W,40°41'19.14"N,86°54'10.62"W, 41.75944, -88.31594, 42.80321, -89.77606, 42.83683, -86.89966, 40.65746, -89.68511, 40.68865, -86.90295,LC08_L2SP_023031_20230612_20230622_02_T1,LC80230312023163LGN00
LC09_L2SP_022031_20230613_20230615_02_T1,LC09_L1TP_022031_20230613_20230614_02_T1,LC90220312023164LGN00,2023/06/13,T1,2, 022, 031, 022, 031,NADIR,   0.000,2023/06/15,2023/06/14,2023-06-13 16:27:59,2023-06-13 16:28:31,LGN,DAY,  94.43,  95.39,69,5,    5.394,    3.910,    3.716,LPGS_16.3.0,65.17710416,132.16316874,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,16,WGS84,WGS84,41°45'34.56"N,86°50'18.92"W,42°48'39.82"N,88°15'26.53"W,42°48'25.27"N,85°25'02.60"W,40°41'15.68"N,88°12'59.72"W,40°41'02.18"N,85°28'07.32"W, 41.75960, -86.83859, 42.81106, -88.25737, 42.80702, -85.41739, 40.68769, -88.21659, 40.68394, -85.46870,LC09_L2SP_022031_20230613_20230615_02_T1,LC90220312023164LGN00
LC09_L2SP_023031_20230620_20230622_02_T1,LC09_L1TP_023031_20230620_20230620_02_T1,LC90230312023171LGN00,2023/06/20,T1,2, 023, 031, 023, 031,NADIR,   0.000,2023/06/22,2023/06/20,2023-06-20 16:34:09,2023-06-20 16:34:41,LGN,DAY,   0.11,   7.80,636,5,    6.459,    4.156,    4.944,LPGS_16.3.0,65.16246243,131.27634652,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,16,WGS84,WGS84,41°45'34.60"N,88°19'51.78"W,42°48'10.26"N,89°47'26.59"W,42°50'12.62"N,86°55'04.87"W,40°39'25.67"N,89°41'57.44"W,40°41'19.21"N,86°55'14.56"W, 41.75961, -88.33105, 42.80285, -89.79072, 42.83684, -86.91802, 40.65713, -89.69929, 40.68867, -86.92071,LC09_L2SP_023031_20230620_20230622_02_T1,LC90230312023171LGN00
LC08_L2SP_022031_20230621_20230630_02_T1,LC08_L1TP_022031_20230621_20230630_02_T1,LC80220312023172LGN00,2023/06/21,T1,2, 022, 031, 022, 031,NADIR,  -0.001,2023/06/30,2023/06/30,2023-06-21 16:28:07,2023-06-21 16:28:38,LGN,DAY,   0.58,   0.43,725,5,    5.407,    3.593,    4.040,LPGS_16.3.0,65.16903255,131.28484794,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,41°45'34.56"N,86°45'31.90"W,42°48'42.91"N,88°10'35.98"W,42°48'20.99"N,85°19'58.94"W,40°41'08.81"N,88°08'18.42"W,40°40'48.47"N,85°23'13.70"W, 41.75960, -86.75886, 42.81192, -88.17666, 42.80583, -85.33304, 40.68578, -88.13845, 40.68013, -85.38714,LC08_L2SP_022031_20230621_20230630_02_T1,LC80220312023172LGN00
LC08_L2SP_023031_20230628_20230711_02_T1,LC08_L1TP_023031_20230628_20230711_02_T1,LC80230312023179LGN00,2023/06/28,T1,2, 023, 031, 023, 031,NADIR,  -0.001,2023/07/11,2023/07/11,2023-06-28 16:34:24,2023-06-28 16:34:56,LGN,DAY,  59.98,  64.44,561,5,    6.479,    4.402,    4.754,LPGS_16.3.0,64.83152246,130.91823530,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,41°45'35.50"N,88°18'59.40"W,42°48'11.56"N,89°46'33.82"W,42°50'12.59"N,86°54'11.99"W,40°39'26.86"N,89°41'06.40"W,40°41'19.18"N,86°54'23.40"W, 41.75986, -88.31650, 42.80321, -89.77606, 42.83683, -86.90333, 40.65746, -89.68511, 40.68866, -86.90650,LC08_L2SP_023031_20230628_20230711_02_T1,LC80230312023179LGN00
LC09_L2SP_022031_20230629_20230701_02_T1,LC09_L1TP_022031_20230629_20230629_02_T1,LC90220312023180LGN00,2023/06/29,T1,2, 022, 031, 022, 031,NADIR,   0.000,2023/07/01,2023/06/29,2023-06-29 16:28:05,2023-06-29 16:28:37,LGN,DAY,  51.18,  52.55,329,5,    6.327,    4.194,    4.738,LPGS_16.3.0,64.73207729,130.81411277,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,16,WGS84,WGS84,41°45'33.98"N,86°47'30.19"W,42°48'41.51"N,88°12'48.02"W,42°48'22.68"N,85°21'57.74"W,40°41'07.55"N,88°10'26.22"W,40°40'50.05"N,85°25'08.69"W, 41.75944, -86.79172, 42.81153, -88.21334, 42.80630, -85.36604, 40.68543, -88.17395, 40.68057, -85.41908,LC09_L2SP_022031_20230629_20230701_02_T1,LC90220312023180LGN00
LC09_L2SP_023031_20230706_20230710_02_T1,LC09_L1TP_023031_20230706_20230706_02_T1,LC90230312023187LGN00,2023/07/06,T1,2, 023, 031, 023, 031,NADIR,   0.000,2023/07/10,2023/07/06,2023-07-06 16:34:22,2023-07-06 16:34:54,LGN,DAY,  45.98,  42.03,216,5,    7.170,    5.166,    4.973,LPGS_16.3.0,64.12388023,131.08149991,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,16,WGS84,WGS84,41°45'35.28"N,88°20'51.50"W,42°48'08.64"N,89°48'32.54"W,42°50'12.66"N,86°55'57.72"W,40°39'24.16"N,89°43'01.27"W,40°41'19.21"N,86°56'05.68"W, 41.75980, -88.34764, 42.80240, -89.80904, 42.83685, -86.93270, 40.65671, -89.71702, 40.68867, -86.93491,LC09_L2SP_023031_20230706_20230710_02_T1,LC90230312023187LGN00
LC08_L2SP_022031_20230707_20230718_02_T1,LC08_L1TP_022031_20230707_20230718_02_T1,LC80220312023188LGN00,2023/07/07,T1,2, 022, 031, 022, 031,NADIR,  -0.001,2023/07/18,2023/07/18,2023-07-07 16:28:19,2023-07-07 16:28:51,LGN,DAY,  16.79,  12.95,410,5,    6.488,    4.187,    4.957,LPGS_16.3.0,64.04905101,131.25161970,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,16,WGS84,WGS84,41°45'34.88"N,86°46'47.68"W,42°48'42.08"N,88°11'55.21"W,42°48'22.10"N,85°21'18.14"W,40°41'08.05"N,88°09'35.10"W,40°40'49.51"N,85°24'30.38"W, 41.75969, -86.77991, 42.81169, -88.19867, 42.80614, -85.35504, 40.68557, -88.15975, 40.68042, -85.40844,LC08_L2SP_022031_20230707_20230718_02_T1,LC80220312023188LGN00
