year_month,n_stations,region_mean_total_in,region_sum_total_in
2009-05,10,3.887,38.870
2009-06,10,5.610,56.100
2009-07,10,2.370,23.700
2009-08,10,4.584,45.840
2009-09,10,1.853,18.530
2009-10,10,6.857,68.570
2009-11,10,1.430,14.300
2009-12,10,2.930,29.300
2010-01,10,0.998,9.980
2010-02,10,1.133,11.330
2010-03,10,1.657,16.570
2010-04,10,3.112,31.120
2010-05,10,5.920,59.200
2010-06,10,5.457,54.570
2010-07,10,7.122,71.220
2010-08,10,2.504,25.040
2010-09,10,3.843,38.430
2010-10,10,1.243,12.430
2010-11,10,2.278,22.780
2010-12,10,1.585,15.850
2011-01,10,0.682,6.820
2011-02,10,2.616,26.160
2011-03,10,2.590,25.900
2011-04,10,4.965,49.650
2011-05,10,4.840,48.400
2011-06,10,3.519,35.190
2011-07,10,4.869,48.690
2011-08,10,3.687,36.870
2011-09,10,3.570,35.700
2011-10,10,1.671,16.710
2011-11,10,3.716,37.160
2011-12,10,2.341,23.410
2012-01,10,1.286,12.860
2012-02,10,1.339,13.390
2012-03,10,2.304,23.040
2012-04,10,2.732,27.320
2012-05,10,2.915,29.150
2012-06,10,1.125,11.250
2012-07,10,2.588,25.880
2012-08,10,3.384,33.840
2012-09,10,2.251,22.510
2012-10,10,3.281,32.810
2012-11,10,0.876,8.760
2012-12,10,2.153,21.530
2013-01,10,3.127,31.270
2013-02,10,2.393,23.930
2013-03,10,2.033,20.330
2013-04,10,6.095,60.950
2013-05,10,4.869,48.690
2013-06,10,4.575,45.750
2013-07,10,3.117,31.170
2013-08,10,2.428,24.280
2013-09,10,1.874,18.740
2013-10,10,3.818,38.180
2013-11,10,2.012,20.120
2013-12,10,1.572,15.720
2014-01,10,1.736,17.360
2014-02,10,1.894,18.940
2014-03,10,1.246,12.460
2014-04,10,2.918,29.180
2014-05,10,3.716,37.160
2014-06,10,7.251,72.510
2014-07,10,2.252,22.520
2014-08,10,5.383,53.830
2014-09,10,3.234,32.340
2014-10,10,3.505,35.050
2014-11,10,1.497,14.970
2014-12,10,1.011,10.110
2015-01,10,1.070,10.700
2015-02,10,0.819,8.190
2015-03,10,1.139,11.390
2015-04,10,3.282,32.820
2015-05,10,4.648,46.480
2015-06,10,6.619,66.190
2015-07,10,4.395,43.950
2015-08,10,3.471,34.710
2015-09,10,3.898,38.980
2015-10,10,1.881,18.810
2015-11,10,4.165,41.650
2015-12,10,5.505,55.050
2016-01,10,0.796,7.960
2016-02,10,1.067,10.670
2016-03,10,3.587,35.870
2016-04,10,2.875,28.750
2016-05,10,4.514,45.140
2016-06,10,2.674,26.740
2016-07,10,5.844,58.440
2016-08,10,4.761,47.610
2016-09,10,2.313,23.130
2016-10,10,3.100,31.000
2016-11,10,2.077,20.770
2016-12,10,1.300,13.000
2017-01,10,2.609,26.090
2017-02,10,1.396,13.960
2017-03,10,3.672,36.720
2017-04,10,6.593,65.930
2017-05,10,4.318,43.180
2017-06,10,3.971,39.710
2017-07,10,5.393,53.930
2017-08,10,2.695,26.950
2017-09,10,0.753,7.530
2017-10,10,6.741,67.410
2017-11,10,1.791,17.910
2017-12,10,0.603,6.030
2018-01,10,1.204,12.040
2018-02,10,3.668,36.680
2018-03,10,2.116,21.160
2018-04,10,2.002,20.020
2018-05,10,5.938,59.380
2018-06,10,7.196,71.960
2018-07,10,1.855,18.550
2018-08,10,5.639,56.390
2018-09,10,3.608,36.080
2018-10,10,4.386,43.860
2018-11,10,2.595,25.950
2018-12,10,3.148,31.480
2019-01,10,1.657,16.570
2019-02,10,2.574,25.740
2019-03,10,2.504,25.040
2019-04,10,4.922,49.220
2019-05,10,7.630,76.300
2019-06,10,4.177,41.770
2019-07,10,3.664,36.640
2019-08,10,4.154,41.540
2019-09,10,6.891,68.910
2019-10,10,5.541,55.410
2019-11,10,1.756,17.560
2019-12,10,1.570,15.700
2020-01,10,3.119,31.190
2020-02,10,1.125,11.250
2020-03,10,3.966,39.660
2020-04,10,4.219,42.190
2020-05,10,7.145,71.450
2020-06,10,3.170,31.700
2020-07,10,2.875,28.750
2020-08,10,1.544,15.440
2020-09,10,3.165,31.650
2020-10,10,3.118,31.180
2020-11,10,2.102,21.020
2020-12,10,1.802,18.020
2021-01,10,1.755,17.550
2021-02,10,0.872,8.720
2021-03,10,2.272,22.720
2021-04,10,1.813,18.130
2021-05,10,3.280,32.800
2021-06,10,4.972,49.720
2021-07,10,2.741,27.410
2021-08,10,3.211,32.110
2021-09,10,1.878,18.780
2021-10,10,5.937,59.370
2021-11,10,0.707,7.070
2021-12,10,2.163,21.630
2022-01,10,0.635,6.350
2022-02,10,2.299,22.990
2022-03,10,3.350,33.500
2022-04,10,4.207,42.070
2022-05,10,4.322,43.220
2022-06,10,2.365,23.650
2022-07,10,4.976,49.760
2022-08,10,4.025,40.250
2022-09,10,2.824,28.240
2022-10,10,2.024,20.240
2022-11,10,1.564,15.640
2022-12,10,2.145,21.450
2023-01,10,2.264,22.640
2023-02,10,3.363,33.630
2023-03,10,3.459,34.590
2023-04,10,2.220,22.200
2023-05,10,1.872,18.720
2023-06,10,1.760,17.600
2023-07,10,6.733,67.330
2023-08,10,2.984,29.840
2023-09,10,2.858,28.580
2023-10,10,3.298,32.980
2023-11,10,0.944,9.440
2023-12,10,2.457,24.570
2024-01,10,3.012,30.120
2024-02,10,0.634,6.340
2024-03,10,3.821,38.210
2024-04,10,4.584,45.840
2024-05,10,4.176,41.760
