station,name,state,lat,lon,elev_m,n_days,min_date,max_date,core
USC00116703,"PEORIA AIRPORT 3 SW, IL US",IL,40.6915,-89.6668,192.0,296,2009-05-01,2010-02-28,0
USW00004808,"CHICAGO AURORA MUNICIPAL AIRPORT, IL US",IL,41.77132,-88.48148,213.7,5508,2009-05-01,2024-05-31,1
USW00004838,"CHICAGO PALWAUKEE AIRPORT, IL US",IL,42.12076,-87.90479,191.6,5509,2009-05-01,2024-05-31,1
USW00013995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",MO,37.23983,-93.38995,384.7,5510,2009-05-01,2024-05-31,1
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",IL,41.78412,-87.75514,185.8,5508,2009-05-01,2024-05-31,1
USW00014880,"CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US",IL,42.42546,-87.8634,216.5,5502,2009-05-01,2024-05-31,1
USW00054740,"SPRINGFIELD HARTNESS STATE AIRPORT, VT US",VT,43.34211,-72.52131,173.2,5509,2009-05-01,2024-05-31,0
USW00063888,"SPRINGFIELD BECKLEY MUNICIPAL AIRPORT, OH US",OH,39.84028,-83.84,320.3,2489,2017-06-20,2024-05-31,0
USW00093822,"SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US",IL,39.84529,-89.68401,179.7,5510,2009-05-01,2024-05-31,1
USW00094822,"ROCKFORD GREATER ROCKFORD AIRPORT, IL US",IL,42.19325,-89.093348,221.0,5510,2009-05-01,2024-05-31,1
USW00094830,"TOLEDO EXPRESS AIRPORT, OH US",OH,41.58705,-83.80538,205.5,5510,2009-05-01,2024-05-31,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",IL,41.96017,-87.93164,204.8,5510,2009-05-01,2024-05-31,1
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",IL,41.89641,-88.25119,228.3,5508,2009-05-01,2024-05-31,1
