station,state,core,year,n_obs,total_in,max_in,d_ge_050,d_ge_100,d_ge_200,wet_days
USC00116703,IL,0,2009,230,32.94,2.23,25,11,3,92
USC00116703,IL,0,2010,53,2.43,1.01,2,1,0,5
USW00004808,IL,1,2009,243,22.77,1.34,15,3,0,120
USW00004808,IL,1,2010,365,32.90,2.38,20,5,1,127
USW00004808,IL,1,2011,365,39.50,2.41,26,9,3,148
USW00004808,IL,1,2012,365,24.08,1.75,9,5,0,115
USW00004808,IL,1,2013,364,34.56,2.42,20,8,2,141
USW00004808,IL,1,2014,365,29.89,1.95,20,6,0,112
USW00004808,IL,1,2015,365,40.81,2.86,26,10,3,110
USW00004808,IL,1,2016,360,34.39,2.04,23,6,1,104
USW00004808,IL,1,2017,363,41.56,5.14,26,7,2,108
USW00004808,IL,1,2018,360,35.75,1.88,27,7,0,124
USW00004808,IL,1,2019,363,45.28,1.92,34,12,0,132
USW00004808,IL,1,2020,363,32.89,2.13,21,6,1,111
USW00004808,IL,1,2021,357,23.60,2.61,13,3,1,93
USW00004808,IL,1,2022,365,32.85,2.04,26,6,1,104
USW00004808,IL,1,2023,365,33.81,2.79,25,5,1,121
USW00004808,IL,1,2024,152,14.01,1.11,9,3,0,49
USW00004838,IL,1,2009,245,29.12,3.23,20,5,1,109
USW00004838,IL,1,2010,365,24.33,2.31,14,4,2,83
USW00004838,IL,1,2011,365,30.29,3.38,19,5,2,94
USW00004838,IL,1,2012,365,22.12,1.31,13,5,0,96
USW00004838,IL,1,2013,353,31.60,4.53,16,4,1,135
USW00004838,IL,1,2014,364,32.95,2.31,21,10,2,112
USW00004838,IL,1,2015,365,32.97,1.97,23,5,0,102
USW00004838,IL,1,2016,363,33.80,2.71,22,7,1,117
USW00004838,IL,1,2017,362,42.23,3.27,28,11,3,109
USW00004838,IL,1,2018,364,46.89,3.72,34,15,2,119
USW00004838,IL,1,2019,364,44.63,2.30,28,10,2,139
USW00004838,IL,1,2020,365,35.74,2.59,21,9,1,114
USW00004838,IL,1,2021,361,25.18,1.86,12,5,0,103
USW00004838,IL,1,2022,365,32.75,1.98,22,6,0,104
USW00004838,IL,1,2023,363,29.31,1.96,18,7,0,119
USW00004838,IL,1,2024,152,14.29,1.15,7,1,0,52
USW00013995,MO,1,2009,245,36.80,4.50,23,9,3,86
USW00013995,MO,1,2010,365,46.16,4.62,29,15,3,107
USW00013995,MO,1,2011,365,40.61,2.31,27,10,2,119
USW00013995,MO,1,2012,366,30.94,2.31,22,8,1,86
USW00013995,MO,1,2013,365,51.84,2.50,34,15,5,114
USW00013995,MO,1,2014,365,38.59,3.23,27,12,1,108
USW00013995,MO,1,2015,365,59.74,6.03,35,15,6,118
USW00013995,MO,1,2016,366,36.25,2.22,23,9,2,101
USW00013995,MO,1,2017,365,47.55,4.31,35,13,1,100
USW00013995,MO,1,2018,365,44.88,2.86,29,11,4,117
USW00013995,MO,1,2019,365,54.47,4.29,38,15,3,129
USW00013995,MO,1,2020,366,49.71,4.29,35,11,2,114
USW00013995,MO,1,2021,365,46.96,2.68,36,14,1,117
USW00013995,MO,1,2022,365,43.26,2.18,32,15,1,100
USW00013995,MO,1,2023,365,43.05,2.49,29,13,1,108
USW00013995,MO,1,2024,152,19.57,2.54,17,3,1,44
USW00014819,IL,1,2009,245,27.43,1.38,20,9,0,100
